event_id,room_id
E:G2ZGNXMRBZ,0616_02_02.02-E
E:LSFBGAR6NX,0008_02_2.365
E:NDZETL1VCA,0003_01_1.03
E:G17VEO7D6Z,0001_01_1.274
E:XI93IA52U4,0226_01_1.07
E:EB5SQKUBU8,0113_00_G.205
E:BLX1NOBG7F,0252_01_1.2
E:CBRWUUZ8HV,0226_00_GF.14
E:X77YZGI18I,0227_02_2.30
E:EMR2MXO438,0226_01_1.12
E:1JCMKE9WCE,0214_00_G.02
E:MHL2M7SI6O,0201_00_G.05
E:K7XNYNFGM6,0131_04_4.07
E:H87EWJFQ9L,0616_02_02.02-E
E:KAP5PR5RDR,0226_-1_LG.19
E:L88LQZZITF,0252_01_1.2
E:JQIZZ1166J,0113_01M_01M.19
E:1VMAKZXPRK,0226_01_1.12
E:CQIWPBS32E,0201_00_G.05
E:KS9IQONVL3,0226_-1_LG.10
E:8FUGDKHJTV,0226_-1_LG.19
E:ZE9D2V69HS,0226_-1_LG.18
E:F7V2IW4VVI,0226_-1_LG.19
E:R3S7SX8YQE,0226_00_GF.14
E:3ZSCEKKIV7,0226_-1_LG.19
E:3XLFAOZ41J,0113_01_1.425
E:7HB2Q9LCBA,0226_-1_LG.11
E:GS5L7RJO7O,0226_-1_LG.18
E:G82GJG95UY,0335_02_2.2
E:FINL1GRIY8,0252_01_1.2
E:CWMA4TTJAO,0226_01_1.07
E:ZNLGRRW453,0226_00_GF.14
E:WYRAAW3H7E,0226_-1_LG.11
E:346BHSB8HD,0201_00_G.05
E:5HHRH3TS7R,0226_-1_LG.14
E:BRL7YYWD9H,0113_00_G.152
E:AIRSWBN8HO,0226_01_1.07
E:1F8VKEMDBX,0113_01_1.42
E:K9SV5VBSAL,0209_02_2.01
E:NQ5PZZHDHG,0226_-1_LG.14
E:PSW791UYBM,0201_02_2.07
E:16KRP4XIMA,0201_02_2.05
E:PLM668SV12,0003_01_1.02
E:9CZ9VSMK2R,0226_-1_LG.19
E:SPNU1THNX8,0226_-1_LG.11
E:28SBY4JRH4,0226_-1_LG.18
E:EB3RAUYLLM,0226_-1_LG.19
E:43KODGI471,0335_02_2.2
E:H351NEXJ42,0201_02_2.05
E:Z18OR1XYUF,0252_01_1.4
E:TNR5VEXA1X,0201_00_G.05
E:CQY5B778ND,0226_-1_LG.14
E:18IQ8KOBBO,0226_-1_LG.14
E:2Q9ZLKPT69,0226_-1_LG.18
E:UAPHPUNWUC,0226_-1_LG.18
E:3JFGC3XGHC,0252_03_3.3
E:J1SHK33N7B,0229_01_1.C
E:VWDNMJSLSK,0335_00_G.01
E:7VCEFFTOBQ-00001,0335_05_5.1
E:U7W1ZD99EN,0003_01_1.02
E:CNX7Z57X1J,0226_-1_LG.19
E:HG223XS95F,0113_00_G.204
E:9R8LDNRITE,0003_01_1.02
E:G9NRB471RJ,0003_00_G.02
E:NZE1ZKB5BP,0201_00_G.05
E:AXKQ3FBJZJ,0300_00_NG.02
